Price,Rating,No_of_ratings,TotalReviews,RamSize (GB),RomSize (GB)
13999,4.5,171965,10805,4.0,64.0
11499,4.3,101336,9764,4.0,64.0
41999,4.2,1256,165,8.0,128.0
39990,4.0,34,4,12.0,256.0
13499,4.3,1985,159,4.0,64.0
14990,4.2,9161,718,6.0,128.0
8091,4.2,9079,644,4.0,64.0
17999,4.4,449,80,8.0,128.0
11570,4.1,95,7,4.0,64.0
11797,4.2,3015,216,4.0,64.0
17999,4.2,52420,4434,6.0,128.0
16480,4.2,2082,170,6.0,128.0
9499,3.7,26741,3220,4.0,64.0
17489,4.3,4,0,6.0,128.0
34998,4.3,1460,128,8.0,128.0
13400,4.4,1044,45,4.0,64.0
16698,4.2,872,85,8.0,128.0
13490,4.2,4237,431,4.0,64.0
18499,4.2,7183,667,8.0,128.0
18999,4.2,61334,6308,6.0,64.0
12520,4.2,9194,843,4.0,64.0
17480,4.3,1770,138,6.0,128.0
16499,4.2,55864,6036,6.0,128.0
28999,4.2,16442,2134,8.0,256.0
39999,4.3,1806,343,8.0,128.0
13849,4.2,9161,718,6.0,64.0
34466,4.2,3658,419,8.0,128.0
23300,4.3,208,16,6.0,128.0
24999,4.2,421,42,6.0,128.0
31999,4.0,563,67,6.0,128.0
15899,4.2,174,15,6.0,128.0
19974,4.3,784,58,8.0,128.0
11999,4.3,5488,302,4.0,128.0
11480,4.3,5488,302,4.0,64.0
12990,4.3,5488,302,4.0,128.0
10499,4.5,253614,9536,4.0,64.0
15999,4.4,121458,10620,4.0,128.0
6348,4.2,1893,141,2.0,32.0
6458,4.2,1893,141,2.0,32.0
6305,4.2,1893,141,2.0,32.0
10955,4.2,253,12,4.0,64.0
9370,4.3,48,4,4.0,64.0
10999,4.3,124433,8927,4.0,64.0
9999,4.3,16022,1375,4.0,64.0
18999,4.2,61334,6308,6.0,64.0
15499,4.3,76114,6042,6.0,128.0
24790,4.2,421,42,6.0,128.0
16499,4.1,257,19,6.0,128.0
11499,4.3,297273,23471,4.0,128.0
12845,4.3,4,1,8.0,128.0
13499,4.2,791,57,4.0,64.0
13499,4.3,64571,5965,6.0,128.0
6999,3.9,21229,3299,4.0,64.0
14960,4.2,174,20,6.0,128.0
13444,4.2,9194,843,4.0,64.0
19990,4.2,1465,124,8.0,128.0
20459,4.2,5366,457,6.0,128.0
15499,4.3,76114,6042,6.0,128.0
5289,4.0,726,50,2.0,32.0
7499,4.4,296108,14044,2.0,32.0
11499,4.3,241660,17034,4.0,64.0
7199,4.3,78425,5384,2.0,32.0
12950,4.3,156,13,4.0,64.0
9999,3.8,94,16,4.0,64.0
9990,4.2,4552,308,6.0,128.0
9499,4.1,1047,75,3.0,32.0
16999,4.4,121376,9957,6.0,128.0
15999,4.4,121458,10620,4.0,128.0
17999,4.4,95489,8376,8.0,128.0
11978,4.3,48,4,4.0,64.0
13499,4.4,105997,8981,4.0,64.0
11499,4.3,241660,17034,4.0,64.0
13999,4.2,4237,431,4.0,64.0
25999,4.1,1523,161,6.0,128.0
8999,4.3,61879,3488,4.0,64.0
6929,4.0,412,49,3.0,64.0
9445,4.3,48,4,4.0,64.0
13499,4.3,64571,5965,6.0,128.0
14499,4.2,32851,3699,4.0,64.0
13490,4.2,360,24,6.0,128.0
13959,4.1,170,12,6.0,128.0
12889,4.4,1044,45,4.0,64.0
7789,4.3,21404,1284,2.0,32.0
39999,4.2,797,117,8.0,128.0
17099,4.4,2462,175,8.0,128.0
22997,4.2,1890,172,8.0,128.0
6999,4.1,25627,2158,3.0,32.0
7499,4.2,542,44,2.0,32.0
12990,4.1,503,32,8.0,128.0
10999,4.3,2782,214,4.0,64.0
24999,4.2,37330,4613,6.0,128.0
18999,4.0,19499,2624,6.0,128.0
19999,4.2,9794,1494,8.0,128.0
10999,4.3,48526,5194,4.0,64.0
11999,4.3,66728,4602,4.0,64.0
13490,4.2,791,57,4.0,64.0
14449,4.3,2097,165,4.0,128.0
7199,4.3,78425,5384,2.0,32.0
16999,4.2,21817,2541,6.0,128.0
11999,4.3,48526,5194,4.0,128.0
16499,4.4,52584,4032,8.0,128.0
12489,4.4,10827,670,4.0,64.0
15995,4.3,5436,439,6.0,64.0
19490,4.3,2852,250,8.0,128.0
19989,4.3,40620,3313,6.0,128.0
14780,4.3,4016,228,6.0,128.0
14990,4.4,10827,670,4.0,128.0
28999,4.2,6430,720,8.0,128.0
39999,4.3,1806,343,8.0,128.0
9990,4.4,74992,4510,3.0,32.0
9990,4.3,656,26,3.0,32.0
13990,4.4,10827,670,4.0,64.0
24999,4.0,3591,652,8.0,128.0
9990,4.4,74992,4510,3.0,32.0
7999,4.2,5872,437,3.0,32.0
13999,4.2,360,24,6.0,128.0
5299,4.0,726,50,2.0,32.0
14999,4.3,44119,3200,4.0,64.0
10999,4.4,137899,5921,4.0,64.0
9499,4.4,71609,3908,3.0,32.0
14849,4.1,402,28,6.0,128.0
10990,4.2,1860,131,4.0,64.0
17399,4.2,522,38,6.0,128.0
12490,4.4,226830,15261,4.0,128.0
15490,4.2,360,24,6.0,128.0
25999,4.2,226,17,8.0,128.0
16499,4.2,2082,170,6.0,64.0
14989,4.2,360,24,6.0,128.0
11999,4.3,48526,5194,4.0,128.0
10999,4.3,48526,5194,4.0,64.0
20199,4.1,631,45,8.0,128.0
12990,4.2,9194,843,4.0,64.0
